pow: 7, freq: 11, 1 freq. peaks: [4390000.], peaks prominence: [15994.29980864]
pow: 7, freq: 12, 1 freq. peaks: [3780000.], peaks prominence: [14646.93942314]
pow: 7, freq: 13, 1 freq. peaks: [3550000.], peaks prominence: [9589.3478509]
pow: 7, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [72.08917154]
pow: 7, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [42.45530544]
pow: 7, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [85.30992923]
pow: 7, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [68.13594321]
pow: 8, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [40.0311696]
pow: 8, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [71.5411057]
pow: 8, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [72.36816617]
pow: 8, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [40.86589035]
pow: 8, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [87.34553701]
pow: 8, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [40.04952478]
pow: 8, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [40.87061848]
pow: 8, freq: 8, 1 freq. peaks: [5270000.], peaks prominence: [29099.98679437]
pow: 8, freq: 9, 1 freq. peaks: [4990000.], peaks prominence: [20316.66027741]
pow: 8, freq: 10, 1 freq. peaks: [4650000.], peaks prominence: [23171.82555946]
pow: 8, freq: 11, 1 freq. peaks: [4200000.], peaks prominence: [16911.88212802]
pow: 8, freq: 12, 1 freq. peaks: [3610000.], peaks prominence: [22347.30499119]
pow: 8, freq: 13, 1 freq. peaks: [3510000.], peaks prominence: [5228.4543402]
pow: 8, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [74.89690543]
pow: 8, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [42.42333519]
pow: 8, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [76.77912004]
pow: 8, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [66.61572367]
pow: 9, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [80.69771865]
pow: 9, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [83.17348931]
pow: 9, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [80.29206039]
pow: 9, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [41.2338243]
pow: 9, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [43.43789208]
pow: 9, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [43.97400151]
pow: 9, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [44.42502174]
pow: 9, freq: 8, 1 freq. peaks: [5120000.], peaks prominence: [17017.15833026]
pow: 9, freq: 9, 1 freq. peaks: [4820000.], peaks prominence: [23728.91601739]
pow: 9, freq: 10, 1 freq. peaks: [4470000.], peaks prominence: [18591.31548892]
pow: 9, freq: 11, 1 freq. peaks: [4030000.], peaks prominence: [16427.7011956]
pow: 9, freq: 12, 1 freq. peaks: [3460000.], peaks prominence: [22765.44129794]
pow: 9, freq: 13, 1 freq. peaks: [3460000.], peaks prominence: [4600.2970964]
pow: 9, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [75.9174389]
pow: 9, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [42.64514207]
pow: 9, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [77.88850806]
pow: 9, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [86.10766986]
pow: 10, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [79.25806316]
pow: 10, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [74.60879191]
pow: 10, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [42.30072839]
pow: 10, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [89.2251893]
pow: 10, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [87.55769672]
pow: 10, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [68.66995604]
pow: 10, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [74.05472531]
pow: 10, freq: 8, 1 freq. peaks: [4970000.], peaks prominence: [17486.85694683]
pow: 10, freq: 9, 1 freq. peaks: [4650000.], peaks prominence: [18109.62003122]
pow: 10, freq: 10, 1 freq. peaks: [4300000.], peaks prominence: [21958.62765975]
pow: 10, freq: 11, 1 freq. peaks: [3870000.], peaks prominence: [13285.0399319]
pow: 10, freq: 12, 1 freq. peaks: [3290000.], peaks prominence: [10590.54537033]
pow: 10, freq: 13, 1 freq. peaks: [3430000.], peaks prominence: [4333.72965529]
pow: 10, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [79.34236812]
pow: 10, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [83.35782376]
pow: 10, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [80.04190687]
pow: 10, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [77.29791864]
pow: 11, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [83.07566197]
pow: 11, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [72.91758468]
pow: 11, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [43.01755744]
pow: 11, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [69.10472757]
pow: 11, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [75.51708392]
pow: 11, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [66.11477267]
pow: 11, freq: 7, 1 freq. peaks: [5090000.], peaks prominence: [13815.21933955]
