pow: 8, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [7.84053089]
pow: 8, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [6.94267118]
pow: 8, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [6.20610956]
pow: 8, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [4.17366184]
pow: 8, freq: 8, 1 freq. peaks: [5270000.], peaks prominence: [1957.29046204]
pow: 8, freq: 9, 1 freq. peaks: [4990000.], peaks prominence: [1858.00813991]
pow: 8, freq: 10, 1 freq. peaks: [4650000.], peaks prominence: [1772.24790194]
pow: 8, freq: 11, 1 freq. peaks: [4200000.], peaks prominence: [1716.28394066]
pow: 8, freq: 12, 1 freq. peaks: [3610000.], peaks prominence: [1451.62511287]
pow: 8, freq: 13, 1 freq. peaks: [3510000.], peaks prominence: [540.26986881]
pow: 8, freq: 14, 1 freq. peaks: [1.25e+08], peaks prominence: [4.4135899]
pow: 8, freq: 15, 1 freq. peaks: [1.25e+08], peaks prominence: [4.33234074]
pow: 8, freq: 16, 1 freq. peaks: [1.25e+08], peaks prominence: [4.35471293]
pow: 8, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.67947697]
pow: 9, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [8.50377441]
pow: 9, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [7.81375106]
pow: 9, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [7.63364967]
pow: 9, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [9.07260052]
pow: 9, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [9.08563373]
pow: 9, freq: 6, 1 freq. peaks: [1.25e+08], peaks prominence: [8.54821682]
pow: 9, freq: 7, 1 freq. peaks: [1.25e+08], peaks prominence: [8.09844473]
pow: 9, freq: 8, 1 freq. peaks: [5120000.], peaks prominence: [2260.54991169]
pow: 9, freq: 9, 1 freq. peaks: [4820000.], peaks prominence: [2173.6278474]
