pow: 8, freq: 14, 1 freq. peaks: [9020000.], peaks prominence: [2167.28809497]
pow: 8, freq: 15, 1 freq. peaks: [6650000.], peaks prominence: [1958.75002315]
pow: 8, freq: 16, 1 freq. peaks: [4640000.], peaks prominence: [1240.59010389]
pow: 8, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [3.96371646]
pow: 8, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [4.11840213]
pow: 8, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [4.0667025]
pow: 8, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [4.03185142]
pow: 8, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [4.11294931]
pow: 9, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [3.50734175]
pow: 9, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [3.36425162]
pow: 9, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [3.80171933]
pow: 9, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [4.08950411]
pow: 9, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [3.93568213]
pow: 9, freq: 6, 1 freq. peaks: [4320000.], peaks prominence: [1279.99502388]
pow: 9, freq: 7, 1 freq. peaks: [3840000.], peaks prominence: [839.30332253]
pow: 9, freq: 8, 1 freq. peaks: [9320000.], peaks prominence: [111.30293134]
pow: 9, freq: 9, 1 freq. peaks: [4780000.], peaks prominence: [80.15241108]
pow: 9, freq: 10, 1 freq. peaks: [4810000.], peaks prominence: [44.42691184]
pow: 9, freq: 11, 1 freq. peaks: [15610000.], peaks prominence: [958.32754281]
pow: 9, freq: 12, 1 freq. peaks: [11970000.], peaks prominence: [1542.52631935]
pow: 9, freq: 13, 1 freq. peaks: [9560000.], peaks prominence: [1942.105779]
pow: 9, freq: 14, 1 freq. peaks: [7960000.], peaks prominence: [2116.9082296]
pow: 9, freq: 15, 1 freq. peaks: [6060000.], peaks prominence: [1780.60042637]
pow: 9, freq: 16, 1 freq. peaks: [4320000.], peaks prominence: [1286.49411546]
pow: 9, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [4.13582913]
pow: 9, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [5.51959506]
pow: 9, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [5.80691059]
pow: 9, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [8.08862636]
pow: 9, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [6.6516703]
pow: 10, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [4.02665937]
pow: 10, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [4.26879747]
pow: 10, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [4.32222114]
pow: 10, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [4.466677]
pow: 10, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [4.56009156]
pow: 10, freq: 6, 1 freq. peaks: [4150000.], peaks prominence: [1159.98683125]
pow: 10, freq: 7, 1 freq. peaks: [9430000.], peaks prominence: [214.99066763]
pow: 10, freq: 8, 1 freq. peaks: [9540000.], peaks prominence: [149.83436526]
pow: 10, freq: 9, 1 freq. peaks: [9510000.], peaks prominence: [78.65341583]
pow: 10, freq: 10, 1 freq. peaks: [4600000.], peaks prominence: [97.53761285]
pow: 10, freq: 11, 1 freq. peaks: [10110000.], peaks prominence: [1263.55885498]
pow: 10, freq: 12, 1 freq. peaks: [8860000.], peaks prominence: [1653.222465]
pow: 10, freq: 13, 1 freq. peaks: [7960000.], peaks prominence: [2531.83168736]
pow: 10, freq: 14, 1 freq. peaks: [6960000.], peaks prominence: [2217.23159622]
pow: 10, freq: 15, 1 freq. peaks: [5490000.], peaks prominence: [1833.02325641]
pow: 10, freq: 16, 1 freq. peaks: [4070000.], peaks prominence: [1827.8882352]
pow: 10, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [7.74403238]
pow: 10, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [6.4890258]
pow: 10, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [7.76101805]
pow: 10, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [7.29190921]
pow: 10, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [7.81351141]
pow: 11, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [5.93273918]
pow: 11, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [6.9304713]
pow: 11, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [6.89605733]
pow: 11, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [7.70381328]
pow: 11, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [6.81038167]
pow: 11, freq: 6, 1 freq. peaks: [4010000.], peaks prominence: [1170.52729969]
pow: 11, freq: 7, 1 freq. peaks: [9700000.], peaks prominence: [219.19161194]
pow: 11, freq: 8, 1 freq. peaks: [9610000.], peaks prominence: [209.29651]
pow: 11, freq: 9, 1 freq. peaks: [4640000.], peaks prominence: [209.08499918]
pow: 11, freq: 10, 1 freq. peaks: [9780000.], peaks prominence: [1079.5576132]
pow: 11, freq: 11, 1 freq. peaks: [8130000.], peaks prominence: [1675.40235223]
pow: 11, freq: 12, 1 freq. peaks: [7490000.], peaks prominence: [2311.56666063]
pow: 11, freq: 13, 1 freq. peaks: [6840000.], peaks prominence: [1670.1292221]
pow: 11, freq: 14, 1 freq. peaks: [2560000.], peaks prominence: [1306.04916542]
pow: 11, freq: 15, 1 freq. peaks: [5090000.], peaks prominence: [2474.08385859]
pow: 11, freq: 16, 1 freq. peaks: [3870000.], peaks prominence: [1965.5189667]
pow: 11, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [7.90503521]
pow: 11, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [7.6973227]
pow: 11, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [5.98477236]
pow: 11, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [8.02945148]
pow: 11, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [6.45132466]
pow: 12, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [6.19120098]
pow: 12, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [6.04201897]
pow: 12, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [7.1870162]
pow: 12, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [7.99387447]
pow: 12, freq: 5, 1 freq. peaks: [1.25e+08], peaks prominence: [7.32962646]
pow: 12, freq: 6, 1 freq. peaks: [3880000.], peaks prominence: [1567.72564297]
pow: 12, freq: 7, 1 freq. peaks: [9730000.], peaks prominence: [391.04069063]
pow: 12, freq: 8, 1 freq. peaks: [4710000.], peaks prominence: [283.25807312]
pow: 12, freq: 9, 1 freq. peaks: [4470000.], peaks prominence: [393.7710403]
pow: 12, freq: 10, 1 freq. peaks: [8190000.], peaks prominence: [1240.2905058]
pow: 12, freq: 11, 1 freq. peaks: [7260000.], peaks prominence: [2114.46314933]
pow: 12, freq: 12, 1 freq. peaks: [4910000.], peaks prominence: [816.76974149]
pow: 12, freq: 13, 1 freq. peaks: [1750000.], peaks prominence: [1420.23181939]
pow: 12, freq: 14, 1 freq. peaks: [2250000.], peaks prominence: [1910.34171458]
pow: 12, freq: 15, 1 freq. peaks: [2030000.], peaks prominence: [1105.15973798]
pow: 12, freq: 16, 1 freq. peaks: [3700000.], peaks prominence: [2104.04503303]
pow: 12, freq: 17, 1 freq. peaks: [1.25e+08], peaks prominence: [7.58816398]
pow: 12, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [5.58461246]
pow: 12, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [7.54649272]
pow: 12, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [7.84305374]
pow: 12, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [6.53067416]
pow: 13, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [5.61240115]
pow: 13, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [6.5563747]
pow: 13, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [6.53120166]
pow: 13, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [8.0590654]
pow: 13, freq: 5, 1 freq. peaks: [4100000.], peaks prominence: [1866.86074145]
pow: 13, freq: 6, 1 freq. peaks: [3770000.], peaks prominence: [1601.84614478]
pow: 13, freq: 7, 1 freq. peaks: [9520000.], peaks prominence: [419.29782506]
pow: 13, freq: 8, 1 freq. peaks: [4570000.], peaks prominence: [519.42321817]
pow: 13, freq: 9, 1 freq. peaks: [8650000.], peaks prominence: [490.66149989]
pow: 13, freq: 10, 1 freq. peaks: [7490000.], peaks prominence: [2025.79440065]
pow: 13, freq: 11, 1 freq. peaks: [2090000.], peaks prominence: [528.05941125]
pow: 13, freq: 12, 1 freq. peaks: [1990000.], peaks prominence: [716.78809016]
pow: 13, freq: 13, 1 freq. peaks: [2180000.], peaks prominence: [1310.11033833]
pow: 13, freq: 14, 1 freq. peaks: [2030000.], peaks prominence: [1548.90164995]
pow: 13, freq: 15, 1 freq. peaks: [1600000.], peaks prominence: [1366.16251368]
pow: 13, freq: 16, 1 freq. peaks: [3560000.], peaks prominence: [2000.75951729]
pow: 13, freq: 17, 1 freq. peaks: [480000.], peaks prominence: [122.31727222]
pow: 13, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [8.08348521]
pow: 13, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [5.62127021]
pow: 13, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [6.70908795]
pow: 13, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [7.23229643]
pow: 14, freq: 1, 1 freq. peaks: [1.25e+08], peaks prominence: [7.76495226]
pow: 14, freq: 2, 1 freq. peaks: [1.25e+08], peaks prominence: [7.01558619]
pow: 14, freq: 3, 1 freq. peaks: [1.25e+08], peaks prominence: [7.19392608]
pow: 14, freq: 4, 1 freq. peaks: [1.25e+08], peaks prominence: [4.78001796]
pow: 14, freq: 5, 1 freq. peaks: [4010000.], peaks prominence: [1953.51368108]
pow: 14, freq: 6, 1 freq. peaks: [3670000.], peaks prominence: [1434.06669017]
pow: 14, freq: 7, 1 freq. peaks: [4620000.], peaks prominence: [592.15813516]
pow: 14, freq: 8, 1 freq. peaks: [8830000.], peaks prominence: [661.5649754]
pow: 14, freq: 9, 1 freq. peaks: [4180000.], peaks prominence: [578.47726815]
pow: 14, freq: 10, 1 freq. peaks: [7120000.], peaks prominence: [917.19190308]
pow: 14, freq: 11, 1 freq. peaks: [9040000.], peaks prominence: [753.59319959]
pow: 14, freq: 12, 1 freq. peaks: [2190000.], peaks prominence: [1784.8681899]
pow: 14, freq: 13, 1 freq. peaks: [2360000.], peaks prominence: [1716.15870276]
pow: 14, freq: 14, 1 freq. peaks: [1960000.], peaks prominence: [1780.6053261]
pow: 14, freq: 15, 1 freq. peaks: [1560000.], peaks prominence: [1255.84666071]
pow: 14, freq: 16, 1 freq. peaks: [3420000.], peaks prominence: [2334.98229983]
pow: 14, freq: 17, 1 freq. peaks: [420000.], peaks prominence: [246.60350434]
pow: 14, freq: 18, 1 freq. peaks: [1.25e+08], peaks prominence: [5.65638873]
pow: 14, freq: 19, 1 freq. peaks: [1.25e+08], peaks prominence: [7.86871168]
pow: 14, freq: 20, 1 freq. peaks: [1.25e+08], peaks prominence: [7.04193805]
pow: 14, freq: 21, 1 freq. peaks: [1.25e+08], peaks prominence: [5.56308237]
